field_1,x-etr89,y-etr89,z-wgs84,descriptio,x-gk-z3,y-gk-z3,z-DHHN,category,St,Loc,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q,lat_flowtr,lon_flowtr,stem_name,layer,path,horizon_v,angle_v,ang_v_corr,ang,tke_proxy
"9",8.148434879000000,48.902587550000000,163.741999999999990,,3437643.930999999865890,5418703.559999999590218,115.766000000000005,h2o,"10.5",343.300000000000011,1.092000000000000,,,,0.383000000000000,0.418000000000000,80,4.500000000000000,-0.320500000000000,-0.110000000000000,0.419000000000000,-161.372999999999990,0.025000000000000,0.003500000000000,0.014000000000000,33.617500000000000,34.341500000000003,36.156999999999996,26.012000000000000,2.064500000000000,1,,,,,48.902555000000000,8.148410000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.3388513686,18.9429242254,33.9429242254,-3.9429242254,0.00041663
"11",8.148524632000003,48.902509000000002,167.360666699999996,,3437650.413000000175089,5418694.751000000163913,119.384666699999997,h2o,"13.5",343.300000000000011,0.431000000000000,,,,0.445500000000000,0.192000000000000,80,3.000000000000000,-0.067500000000000,0.105500000000000,-0.421000000000000,113.801000000000002,0.013000000000000,0.008500000000000,0.032500000000000,33.442500000000003,34.015000000000001,35.954000000000001,26.149000000000001,2.078500000000000,1,,,,,48.902500000000003,8.148490000000002,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.1252457584,-57.3884631533,-42.3884631533,72.3884631533,0.00064875
"14",8.148316536999999,48.902483179999997,157.804333299999996,,3437635.125000000465661,5418692.050999999977648,109.828333299999997,h2o,"20.5",343.300000000000011,0.984000000000000,,,,0.395500000000000,0.389000000000000,80,0.000000000000000,-0.275000000000000,0.352500000000000,-1.380500000000000,128.299000000000007,0.004500000000000,0.006000000000000,0.024500000000000,33.670499999999997,33.731999999999999,35.805999999999997,26.088000000000001,1.131000000000000,1,,,,,48.902490000000000,8.148330000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.4470808093,-52.0407165870,-37.0407165870,67.0407165870,0.00032825
"15",8.148224962000000,48.902301930000000,158.246666699999992,,3437628.185000000055879,5418671.968999999575317,110.270666700000007,h2o,"22",343.300000000000011,0.517000000000000,,,,0.364000000000000,0.188000000000000,80,1.000000000000000,0.021000000000000,0.007000000000000,-0.030000000000000,18.882999999999999,0.001000000000000,0.002000000000000,0.009000000000000,33.518000000000001,34.103000000000002,35.594999999999999,26.047000000000001,0.959000000000000,1,,,,,48.902290000000001,8.148220000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0221359436,18.4349488229,33.4349488229,-3.4349488229,0.00004300
"16",8.148103295000000,48.902329920000000,158.271333300000009,,3437619.299999999813735,5418675.183000000193715,110.295333299999996,h2o,"23.5",343.300000000000011,0.844000000000000,,,,0.439000000000000,0.370500000000000,80,0.000000000000000,0.313500000000000,-0.038000000000000,0.120500000000000,-4.829500000000000,0.009500000000000,0.007500000000000,0.028000000000000,33.762000000000000,33.801499999999997,36.317000000000000,26.078499999999998,1.563000000000000,1,,,,,48.902315000000002,8.148104999999999,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.3157946326,-6.9112271190,8.0887728810,21.9112271190,0.00046525
"17",8.147874387000000,48.902143449999997,157.586666699999995,,3437602.285999999847263,5418654.633000000379980,109.610666699999996,h2o,"25",343.300000000000011,0.813000000000000,,,,0.444000000000000,0.361000000000000,80,1.000000000000000,0.480000000000000,-0.063000000000000,0.226000000000000,-7.531000000000000,0.006000000000000,0.006000000000000,0.026000000000000,34.049999999999997,34.591000000000001,36.689000000000000,26.015000000000001,1.485000000000000,1,,,,,48.902140000000003,8.147869999999999,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.4841167215,-7.4773303067,7.5226696933,22.4773303067,0.00037400
"18",8.147981882000000,48.902076129999998,158.402999999999992,,3437610.083000000100583,5418647.059000000357628,110.427000000000007,h2o,"26",343.300000000000011,0.285000000000000,,,,0.421000000000000,0.120000000000000,80,0.000000000000000,0.000000000000000,-0.077000000000000,0.308000000000000,-90.061000000000007,0.002000000000000,0.004000000000000,0.015000000000000,32.921999999999997,33.244000000000000,34.939999999999998,26.050999999999998,1.236000000000000,1,,,,,48.902070000000002,8.148030000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0770000000,,,,0.00012250
"19",8.147852746000000,48.902112090000003,157.341333300000002,,3437600.660000000149012,5418651.163999999873340,109.365333300000003,h2o,"27",343.300000000000011,0.862000000000000,,,,0.385000000000000,0.332000000000000,80,3.000000000000000,0.324000000000000,-0.182000000000000,0.711000000000000,-29.332000000000001,0.005000000000000,0.005000000000000,0.018000000000000,33.299999999999997,33.488999999999997,35.634000000000000,26.015000000000001,1.609000000000000,1,,,,,48.902110000000000,8.147860000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.3716180835,-29.3241588357,-14.3241588357,44.3241588357,0.00018700
"20",8.147794443000000,48.901961550000003,157.330666699999995,,3437596.197999999858439,5418634.470999999903142,109.354666699999996,h2o,"28",343.300000000000011,1.069000000000000,,,,0.398000000000000,0.425000000000000,80,9.000000000000000,-0.203000000000000,-0.020000000000000,0.092000000000000,-174.278999999999996,0.003000000000000,0.003000000000000,0.012000000000000,32.603000000000002,32.667999999999999,35.076999999999998,26.041000000000000,0.587000000000000,1,,,,,48.901949999999999,8.147790000000002,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.2039828424,5.6267457151,20.6267457151,9.3732542849,0.00008100
"21",8.147978332999999,48.901808119999998,157.448000000000008,,3437609.489000000059605,5418617.258000000379980,109.471999999999994,h2o,"29",343.300000000000011,0.580000000000000,,,,0.429000000000000,0.249000000000000,80,0.000000000000000,-0.062000000000000,0.027000000000000,-0.098000000000000,156.103000000000009,0.003000000000000,0.002000000000000,0.009000000000000,27.242000000000001,26.893999999999998,29.742000000000001,26.199999999999999,1.114000000000000,1,,,,,48.901789999999998,8.147990000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0676239603,-23.5323485609,-8.5323485609,38.5323485609,0.00004700
