,sample,Profile ID,profile_location,samp_method,date,lat,lon,d10,d16,d25,d30,d50,d60,d75,d84,d90,Mean Grain Size dm [mm],Geometrical mean dg [mm],Sorting Index 1 ds,Fredle - Index,Grain Size std,Geometric Standard Deviation,Skewness,Kurtosis,Coefficient of uniformity - Cu,Curvature coefficient - Cc,Carling and Reader (1982) [Porosity],Wu and Wang (2006) [Porosity],Wooster et al. (2008) [Porosity],Frings et al. (2011)  [Porosity],User input [Porosity],Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf],User input [Estimated kf],250,125,63,31.5,16,8,4,2,1,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05,dp_position,H_m,depth,comment,slurp_rate1,slurp_rate2,slurp_rate3,slurp_rate4,slurp_rate_final,wl,wl_stick,z_bed,z_watersurface,lz,operator
147,F-1,474.2,1,UL,13.07.2022,8.382366798,49.82259938,0.290329949,0.337218274,0.407550761,0.446624365,0.972610723,2.092307692,5.42516269,7.829587852,12.28831169,5.358067295,1.624893874,4.818522598,0.337218274,15.23261794,2.149333845,11.07934844,165.1841513,7.206654697,0.328372995,0.43592857,0.341137194,0.232545409,0.260617302,,0.00020931,7.35E-05,1.72E-05,2.60E-05,,100,100,100,96.71971419,94.64111725,84.63786944,69.6654758,59.53231569,50.76323482,36.83013966,4.839233517,0.227346541,0.064956155,0,0,0,7,0.125,0.685,,4.48,4.37,,,4.425,-0.368,-0.245,130.259,129.891,0.317,
148,F-1,474.2,1,UL,13.07.2022,8.382366798,49.82259938,0.290329949,0.337218274,0.407550761,0.446624365,0.972610723,2.092307692,5.42516269,7.829587852,12.28831169,5.358067295,1.624893874,4.818522598,0.337218274,15.23261794,2.149333845,11.07934844,165.1841513,7.206654697,0.328372995,0.43592857,0.341137194,0.232545409,0.260617302,,0.00020931,7.35E-05,1.72E-05,2.60E-05,,100,100,100,96.71971419,94.64111725,84.63786944,69.6654758,59.53231569,50.76323482,36.83013966,4.839233517,0.227346541,0.064956155,0,0,0,9,0.125,0.625,,9.03,8.75,,,8.89,-0.368,-0.245,130.259,129.891,0.257,
149,F-1,474.2,1,UL,13.07.2022,8.382366798,49.82259938,0.290329949,0.337218274,0.407550761,0.446624365,0.972610723,2.092307692,5.42516269,7.829587852,12.28831169,5.358067295,1.624893874,4.818522598,0.337218274,15.23261794,2.149333845,11.07934844,165.1841513,7.206654697,0.328372995,0.43592857,0.341137194,0.232545409,0.260617302,,0.00020931,7.35E-05,1.72E-05,2.60E-05,,100,100,100,96.71971419,94.64111725,84.63786944,69.6654758,59.53231569,50.76323482,36.83013966,4.839233517,0.227346541,0.064956155,0,0,0,10,0.125,0.595,,8.75,8.49,,,8.62,-0.368,-0.245,130.259,129.891,0.227,
150,F-1,474.2,1,UL,13.07.2022,8.382366798,49.82259938,0.290329949,0.337218274,0.407550761,0.446624365,0.972610723,2.092307692,5.42516269,7.829587852,12.28831169,5.358067295,1.624893874,4.818522598,0.337218274,15.23261794,2.149333845,11.07934844,165.1841513,7.206654697,0.328372995,0.43592857,0.341137194,0.232545409,0.260617302,,0.00020931,7.35E-05,1.72E-05,2.60E-05,,100,100,100,96.71971419,94.64111725,84.63786944,69.6654758,59.53231569,50.76323482,36.83013966,4.839233517,0.227346541,0.064956155,0,0,0,13,0.125,0.505,,7.73,,,,7.73,-0.368,-0.245,130.259,129.891,0.137,
151,F-1,474.2,1,UL,13.07.2022,8.382366798,49.82259938,0.290329949,0.337218274,0.407550761,0.446624365,0.972610723,2.092307692,5.42516269,7.829587852,12.28831169,5.358067295,1.624893874,4.818522598,0.337218274,15.23261794,2.149333845,11.07934844,165.1841513,7.206654697,0.328372995,0.43592857,0.341137194,0.232545409,0.260617302,,0.00020931,7.35E-05,1.72E-05,2.60E-05,,100,100,100,96.71971419,94.64111725,84.63786944,69.6654758,59.53231569,50.76323482,36.83013966,4.839233517,0.227346541,0.064956155,0,0,0,15,0.125,0.445,,5.42,5.27,,,5.345,-0.368,-0.245,130.259,129.891,0.077,
152,F-2,474.2,2,FC,13.07.2022,8.382321072,49.82258559,0.224845679,0.26612206,0.298076923,0.315829625,0.386840432,0.422345836,0.475603942,0.844637681,4.992,5.08962502,0.474106232,1.781536761,0.26612206,21.39394372,2.04729285,6.468973315,52.24117738,1.878380931,1.050395776,0.53616883,0.386075068,0.243646462,0.333315868,,0.000132704,2.83E-05,4.68E-06,1.54E-05,,100,100,96.32945389,96.32945389,94.98657117,92.52461952,89.16741271,89.03312444,84.95971352,81.87108326,11.45926589,4.207699194,2.05908684,0,0,0,1,0.485,0.505,,1,0.962,1,,0.987333333,0.95,,,,1.455,
153,F-2,474.2,2,FC,13.07.2022,8.382321072,49.82258559,0.224845679,0.26612206,0.298076923,0.315829625,0.386840432,0.422345836,0.475603942,0.844637681,4.992,5.08962502,0.474106232,1.781536761,0.26612206,21.39394372,2.04729285,6.468973315,52.24117738,1.878380931,1.050395776,0.53616883,0.386075068,0.243646462,0.333315868,,0.000132704,2.83E-05,4.68E-06,1.54E-05,,100,100,96.32945389,96.32945389,94.98657117,92.52461952,89.16741271,89.03312444,84.95971352,81.87108326,11.45926589,4.207699194,2.05908684,0,0,0,3,0.485,0.445,,5.75,5.59,,,5.67,0.95,,,,1.395,
154,F-2,474.2,2,FC,13.07.2022,8.382321072,49.82258559,0.224845679,0.26612206,0.298076923,0.315829625,0.386840432,0.422345836,0.475603942,0.844637681,4.992,5.08962502,0.474106232,1.781536761,0.26612206,21.39394372,2.04729285,6.468973315,52.24117738,1.878380931,1.050395776,0.53616883,0.386075068,0.243646462,0.333315868,,0.000132704,2.83E-05,4.68E-06,1.54E-05,,100,100,96.32945389,96.32945389,94.98657117,92.52461952,89.16741271,89.03312444,84.95971352,81.87108326,11.45926589,4.207699194,2.05908684,0,0,0,5,0.485,0.385,,6.49,6.55,,,6.52,0.95,,,,1.335,
155,F-2,474.2,2,FC,13.07.2022,8.382321072,49.82258559,0.224845679,0.26612206,0.298076923,0.315829625,0.386840432,0.422345836,0.475603942,0.844637681,4.992,5.08962502,0.474106232,1.781536761,0.26612206,21.39394372,2.04729285,6.468973315,52.24117738,1.878380931,1.050395776,0.53616883,0.386075068,0.243646462,0.333315868,,0.000132704,2.83E-05,4.68E-06,1.54E-05,,100,100,96.32945389,96.32945389,94.98657117,92.52461952,89.16741271,89.03312444,84.95971352,81.87108326,11.45926589,4.207699194,2.05908684,0,0,0,7,0.485,0.325,,6.55,6.65,,,6.6,0.95,,,,1.275,
156,F-2,474.2,2,FC,13.07.2022,8.382321072,49.82258559,0.224845679,0.26612206,0.298076923,0.315829625,0.386840432,0.422345836,0.475603942,0.844637681,4.992,5.08962502,0.474106232,1.781536761,0.26612206,21.39394372,2.04729285,6.468973315,52.24117738,1.878380931,1.050395776,0.53616883,0.386075068,0.243646462,0.333315868,,0.000132704,2.83E-05,4.68E-06,1.54E-05,,100,100,96.32945389,96.32945389,94.98657117,92.52461952,89.16741271,89.03312444,84.95971352,81.87108326,11.45926589,4.207699194,2.05908684,0,0,0,9,0.485,0.265,,7.78,7.89,,,7.835,0.95,,,,1.215,
